,cl_id,str_id,cl_type,s_cl_st,s_cl_tot,s_cl_pop,s_cl_hh,u_n,u_medpop,st_hhsiz,st_pop_n,st_pop_p,st_hh_n,st_hh_p,st_name,ori_id,geometry
30,31,1,main,205,205,5133.7349,5133.73,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261883,"POLYGON ((121.55828471 15.762493695, 121.562451375 15.762493695, 121.562451375 15.75832703, 121.55828471 15.75832703, 121.55828471 15.762493695))"
31,32,1,main,205,205,4315.3124,4315.325,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261884,"POLYGON ((121.562451375 15.762493695, 121.56661804 15.762493695, 121.56661804 15.75832703, 121.562451375 15.75832703, 121.562451375 15.762493695))"
32,33,1,main,205,205,3034.97635,3034.99,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261885,"POLYGON ((121.56661804 15.762493695, 121.570784705 15.762493695, 121.570784705 15.75832703, 121.56661804 15.75832703, 121.56661804 15.762493695))"
33,34,1,main,205,205,247.08163,247.065,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261893,"POLYGON ((121.59995136 15.762493695, 121.604118025 15.762493695, 121.604118025 15.75832703, 121.59995136 15.75832703, 121.59995136 15.762493695))"
34,35,1,main,205,205,289.73793,289.73,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264387,"POLYGON ((121.51661806 15.75832703, 121.520784725 15.75832703, 121.520784725 15.754160365, 121.51661806 15.754160365, 121.51661806 15.75832703))"
35,36,1,main,205,205,694.20509,694.1900000000001,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264392,"POLYGON ((121.537451385 15.75832703, 121.54161805 15.75832703, 121.54161805 15.754160365, 121.537451385 15.754160365, 121.537451385 15.75832703))"
36,37,1,main,205,205,1846.95304,1846.95,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264394,"POLYGON ((121.545784715 15.75832703, 121.54995138 15.75832703, 121.54995138 15.754160365, 121.545784715 15.754160365, 121.545784715 15.75832703))"
37,38,1,main,205,205,3114.3273,3114.335,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264395,"POLYGON ((121.54995138 15.75832703, 121.554118045 15.75832703, 121.554118045 15.754160365, 121.54995138 15.754160365, 121.54995138 15.75832703))"
38,39,1,main,205,205,3794.077,3794.07,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264396,"POLYGON ((121.554118045 15.75832703, 121.55828471 15.75832703, 121.55828471 15.754160365, 121.554118045 15.754160365, 121.554118045 15.75832703))"
39,40,1,main,205,205,4375.1141,4375.105,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264397,"POLYGON ((121.55828471 15.75832703, 121.562451375 15.75832703, 121.562451375 15.754160365, 121.55828471 15.754160365, 121.55828471 15.75832703))"
40,41,1,main,205,205,2416.7374,2416.75,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264398,"POLYGON ((121.562451375 15.75832703, 121.56661804 15.75832703, 121.56661804 15.754160365, 121.562451375 15.754160365, 121.562451375 15.75832703))"
41,42,1,main,205,205,2322.44162,2322.425,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264399,"POLYGON ((121.56661804 15.75832703, 121.570784705 15.75832703, 121.570784705 15.754160365, 121.56661804 15.754160365, 121.56661804 15.75832703))"
42,43,1,main,205,205,408.33177,408.345,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3264405,"POLYGON ((121.59161803 15.75832703, 121.59578469499999 15.75832703, 121.59578469499999 15.754160365, 121.59161803 15.754160365, 121.59161803 15.75832703))"
43,44,1,main,205,205,262.61844,262.605,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3266897,"POLYGON ((121.4999514 15.754160365, 121.504118065 15.754160365, 121.504118065 15.749993700000001, 121.4999514 15.749993700000001, 121.4999514 15.754160365))"
